time_published,overall_sentiment_score
20220906T041341,-0.150708
20220906T065202,0.211602
20220906T065525,-0.029117
20220906T080628,-0.153809
20220906T084724,-0.016648
20220906T091552,-0.028238
20220906T093650,-0.021426
20220906T101500,0.095667
20220906T101800,0.026451
20220906T103041,0.002492
20220906T104400,0.151429
20220906T105500,0.08747
20220906T110000,0.075919
20220906T110000,0.20355
20220906T110000,0.346053
20220906T110000,0.551643
20220906T110000,0.560178
20220906T110034,0.046166
20220906T110100,0.111605
20220906T110434,-0.346065
20220906T110700,0.212068
20220906T110700,0.216849
20220906T110700,0.195347
20220906T112500,-0.055743
20220906T112646,0.004733
20220906T113000,0.112941
20220906T113000,0.198692
20220906T113700,0.59079
20220906T113828,0.407925
20220906T114500,0.118637
20220906T114500,0.118644
20220906T120000,0.565536
20220906T120039,-0.014204
20220906T120346,0.118613
20220906T120740,0.133565
20220906T121500,0.215791
20220906T121500,0.213526
20220906T122450,0.164049
20220906T123000,0.104544
20220906T123200,0.287107
20220906T123651,0.312625
20220906T123718,0.167956
20220906T123718,0.167956
20220906T124500,0.102707
20220906T124500,0.114506
20220906T130000,0.218771
20220906T130011,0.206477
20220906T133000,0.322255
20220906T133500,0.180853
20220906T134232,-0.046396
20220906T134600,0.349042
20220906T134600,0.355483
20220906T140000,0.346997
20220906T140100,0.319085
20220906T140749,-0.054768
20220906T141049,0.169446
20220906T141226,0.145961
20220906T142517,0.337143
20220906T143000,0.293178
20220906T143800,0.355842
20220906T144155,0.047977
20220906T145054,0.229964
20220906T145220,0.139745
20220906T145300,0.21288
20220906T153000,0.344523
20220906T154000,0.420938
20220906T160000,0.256146
20220906T160000,0.290486
20220906T160404,0.234426
20220906T160501,0.156863
20220906T161300,0.009885
20220906T170112,0.073301
20220906T171500,0.364479
20220906T171533,0.174403
20220906T172753,0.187242
20220906T174300,0.313782
20220906T174803,0.083753
20220906T175729,0.131741
20220906T180505,0.233227
20220906T180505,0.233227
20220906T181000,0.350902
20220906T182037,0.179134
20220906T182037,0.179134
20220906T182100,0.284953
20220906T183928,0.258206
20220906T185500,0.269763
20220906T190506,0.158587
20220906T192600,-0.04097
20220906T193900,0.295313
20220906T194500,0.041176
20220906T194555,0.041176
20220906T194629,0.233227
20220906T200000,0.411622
20220906T200000,0.021409
20220906T200500,0.108135
20220906T201500,0.208297
20220906T203000,0.140035
20220906T203000,0.156473
20220906T203400,0.199399
20220906T214400,0.38428
20220906T214520,0.087574
20220906T220000,0.339682
20220906T220018,0.326752
20220906T221000,0.041134
20220906T223051,-0.05593
20220906T225720,0.009608
20220906T225918,0.176228
20220906T231024,0.13846
20220906T235235,0.119456
20220907T002315,0.128875
20220907T002519,0.102882
20220907T003753,0.166691
20220907T011200,0.063093
20220907T011659,0.179456
20220907T030027,0.079683
20220907T040500,0.263602
20220907T040500,0.276921
20220907T040500,0.263602
20220907T040500,0.276921
20220907T043449,0.246146
20220907T043500,0.100091
20220907T055139,0.046714
20220907T060000,0.358425
20220907T060200,0.131774
20220907T072300,0.002378
20220907T073300,0
20220907T080031,0.031534
20220907T080300,0.216487
20220907T092500,0.198654
20220907T095513,0.097767
20220907T100018,0.033189
20220907T101200,0.327141
20220907T103000,0.369165
20220907T104856,0.18295
20220907T105500,0.202394
20220907T105500,0.207171
20220907T110000,0.272976
20220907T110047,-0.123149
20220907T111000,0.51039
20220907T112134,0.165857
20220907T112134,-0.017345
20220907T112500,0.243206
20220907T112500,0.258852
20220907T113000,0.257197
20220907T120000,0.459827
20220907T120000,0.162115
20220907T120000,0.175502
20220907T121251,-0.009612
20220907T123000,0.276921
20220907T123000,0.208148
20220907T123000,0.254225
20220907T123000,0.341112
20220907T123724,0.246146
20220907T124833,0.182569
20220907T125500,0.348416
20220907T125500,0.356851
20220907T125545,-0.129732
20220907T125956,0.240748
20220907T130000,0.106373
20220907T130000,0.479154
20220907T130032,-0.033797
20220907T130100,0.339659
20220907T132200,0.409849
20220907T132600,0.135562
20220907T133800,0.263097
20220907T134500,0.22057
20220907T140000,0.19917
20220907T140127,0.155154
20220907T140200,0.396557
20220907T141510,0.32461
20220907T141959,0.594798
20220907T144222,0.02904
20220907T144222,0.029039
20220907T144400,0.454636
20220907T145500,0.284556
20220907T150000,0.127307
20220907T150000,0.160819
20220907T150000,0.171928
20220907T153227,0.28234
20220907T160000,0.236351
20220907T162000,0.175183
20220907T162123,0.456542
20220907T163000,0.201591
20220907T163934,0.553271
20220907T164000,0.19145
20220907T165000,0.134313
20220907T170000,0.348937
20220907T170500,0.268206
20220907T171500,-0.02168
20220907T172801,0.156802
20220907T174900,0.115502
20220907T180000,0.451174
20220907T180000,0.449287
20220907T180000,0.457
20220907T180000,0.268319
20220907T180226,0.07466
20220907T181600,0.37591
20220907T182949,0.062763
20220907T183800,-0.012121
20220907T195506,-0.299508
20220907T195506,-0.299508
20220907T200000,0.272785
20220907T201500,0.34043
20220907T201500,0.11764
20220907T201817,-0.380974
20220907T202909,0.304152
20220907T204603,0.157781
20220907T205048,0.139215
20220907T205354,0.068854
20220907T210000,0.148564
20220907T210000,0.153499
20220907T210300,0.184301
20220907T210309,0.181924
20220907T214500,0.071695
20220907T214800,0.414394
20220907T230000,0.273849
20220908T002512,0.333733
20220908T003638,0.344148
20220908T040028,0.283527
20220908T041053,0.065929
20220908T042348,0.129941
20220908T043000,0.317367
20220908T044621,0.064705
20220908T044621,0.064705
20220908T054508,0.174687
20220908T072100,0.492759
20220908T072424,-0.451706
20220908T084300,-0.076746
20220908T084748,-0.053261
20220908T085053,-0.481458
20220908T090000,0.317367
20220908T093734,-0.395205
20220908T094500,0.233215
20220908T094932,-0.117744
20220908T105000,0.145783
20220908T105500,0.560603
20220908T105517,-0.237411
20220908T110000,0.101428
20220908T110000,0.285702
20220908T110000,0.058343
20220908T110000,0.344875
20220908T110000,0.342765
20220908T110021,0.390418
20220908T110154,0.176533
20220908T112500,0.072608
